3,24780,Mildura,53036
3,24850,Mitchell,38515
3,24900,Moira,28833
3,24970,Monash,185037
3,25060,Moonee Valley,117337
3,25150,Moorabool,30926
3,25250,Moreland,163488
3,25340,Mornington Peninsula,153800
3,25430,Mount Alexander,18102
3,25490,Moyne,16344
3,25620,Murrindindi,13595
3,25710,Nillumbik,62872
3,25810,Northern Grampians,11719
3,25900,Port Phillip,104846
3,25990,Pyrenees,6979
3,26080,Queenscliffe,3027
3,26170,South Gippsland,27937
3,26260,Southern Grampians,15919
3,26350,Stonnington,105981
3,26430,Strathbogie,9810
3,26490,Surf Coast,28481
3,26610,Swan Hill,20580
3,26670,Towong,5797
3,26700,Wangaratta,27117
3,26730,Warrnambool,33501
3,26810,Wellington,42220
3,26890,West Wimmera,3982
3,26980,Whitehorse,163697
3,27070,Whittlesea,187006
3,27170,Wodonga,38131
3,27260,Wyndham,199715
3,27350,Yarra,86506
3,27450,Yarra Ranges,150098
3,27630,Yarriambiack,6892
3,29399,Unincorporated Vic,757
4,20110,Alpine,524
4,20260,Ararat,1149
4,20570,Ballarat,10349
4,20660,Banyule,8709
4,20740,Bass Coast,2468
4,20830,Baw Baw,3737
4,20910,Bayside,4225
4,21010,Benalla,1169
4,21110,Boroondara,6754
4,21180,Brimbank,17304
4,21270,Buloke,203
4,21370,Campaspe,2954
4,21450,Cardinia,5579
4,21610,Casey,17349
4,21670,Central Goldfields,1098
4,21750,Colac-Otway,1512
4,21830,Corangamite,688
4,21890,Darebin,14379
4,22110,East Gippsland,3918
4,22170,Frankston,14556
4,22250,Gannawarra,555
4,22310,Glen Eira,5178
4,22410,Glenelg,1722
4,22490,Golden Plains,505
4,22620,Greater Bendigo,8575
4,22670,Greater Dandenong,15992
4,22750,Greater Geelong,18569
4,22830,Greater Shepparton,7232
4,22910,Hepburn,597
4,22980,Hindmarsh,225
4,23110,Hobsons Bay,6992
4,23190,Horsham,2390
4,23270,Hume,17663
4,23350,Indigo,385
4,23430,Kingston,9477
4,23670,Knox,9627
4,23810,Latrobe,11654
4,23940,Loddon,519
4,24130,Macedon Ranges,2155
4,24210,Manningham,3998
4,24250,Mansfield,623
4,24330,Maribyrnong,8092
4,24410,Maroondah,7600
4,24600,Melbourne,32301
4,24650,Melton,9926
4,24780,Mildura,5876
4,24850,Mitchell,3202
4,24900,Moira,1381
4,24970,Monash,9488
4,25060,Moonee Valley,8519
4,25150,Moorabool,1871
4,25250,Moreland,12703
4,25340,Mornington Peninsula,10303
4,25430,Mount Alexander,1154
4,25490,Moyne,1305
4,25620,Murrindindi,649
4,25710,Nillumbik,649
4,25810,Northern Grampians,909
4,25900,Port Phillip,12082
4,25990,Pyrenees,408
4,26080,Queenscliffe,101
4,26170,South Gippsland,1285
4,26260,Southern Grampians,951
